Product_key	Название товара	Название бренда	Группа товара
213_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 охра светлая (цв.№206)"	ЗХК	Живопись-гуашь, банка/туба
214_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 сажа газовая (цв.№801)"	ЗХК	Живопись-гуашь, банка/туба
215_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.1 ярко-зелёный (цв.№711)"	ЗХК	Живопись-гуашь, банка/туба
216_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.2 бирюзовая (цв.№507)"	ЗХК	Живопись-гуашь, банка/туба
217_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.2 кадмий жёлто-палевый (цв.№212)"	ЗХК	Живопись-гуашь, банка/туба
218_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.2 кармин (имитация) (цв.№330)"	ЗХК	Живопись-гуашь, банка/туба
219_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.2 окись хрома (цв.№704)"	ЗХК	Живопись-гуашь, банка/туба
220_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.2 травяной зелёный (цв.№716)"	ЗХК	Живопись-гуашь, банка/туба
221_18_44	"Гуашь ""Мастер-класс"", банка 100мл сер.3 кобальт светло-синий (цв.№504)"	ЗХК	Живопись-гуашь, банка/туба
222_18_44	"Гуашь ""Мастер-класс"", банка 220мл сер.3 ультрамарин (цв.№511)"	ЗХК	Живопись-гуашь, банка/туба
223_2_41	Кисть щетина флейц серия 190 №40	Гамма	Кисти-Специальные-Щетина
224_19_25	"Набор бумаги для черчения 200г/кв.м, 297х420мм, 10л ""Black"""	СПБФ Гознака	Бумага-вывод-Альбомы,блокноты,блоки,склейки,папки
225_2_38	"Набор пастели масляной ""Московская палитра"" (12цв.), картон.упаковка"	Гамма	Графические материалы-пастель-масляная
226_2_38	"Набор пастели масляной ""Московская палитра"" (16цв.), картон.упаковка"	Гамма	Графические материалы-пастель-масляная
227_2_70	Тушь жидкая, флакон 70мл, черный	Гамма	Графические материалы-тушь-тубы, банки
228_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 желтый основной (цв.№116)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
229_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 желтый темный (цв.№118)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
230_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 зелёный ФЦ (цв.№321)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
231_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 зелёный яркий тёмный (цв.№305)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
232_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 земля сиены натуральнная (цв.№161)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
233_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 кадмий желтый средний (цв.№083)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
234_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 кармин (цв.№166)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
235_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 киноварь имитация (цв.№280)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
236_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 красный яркий (цв.№220)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
237_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 оксид хрома зеленый (цв.№336)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
238_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 основной красный маджента (цв.№256)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
239_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 розовый светлый (цв.№208)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
240_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 синий морской (цв.№388)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
241_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 синий фтал (цв.№378)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
242_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 фиолетовый (цв.№443)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
243_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 фиолетовый яркий (цв.№447)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
244_19_9	"Бумага акварельная цел.100%, 280г/кв.м, 620х940мм, тиснение ""Скорлупа"" палевый"	СПБФ Гознака	Бумага-вывод- в листах
245_19_32	Бумага рисовальная 200г/кв.м, 420х594мм	СПБФ Гознака	Бумага рисовальная-листы
246_1_4	Кисть синтетика плоская серия 1222 №30	Живописные кисти	Кисти-Акварель-Синтетика
247_22_39	Пенокартон белый 0,5см 1000х1400мм глянцевый 2	Foam	Бумага-Картон-пенокартон
248_4_6	Рама со стеклом 35х50см (Б532), профиль прямой, пластик под коричневый мрамор	Двуреченский	Подрамники, рамы-рамы-окрашенные со стеклом
249_20_30	"Мольберт ученический ""хлопушка"" напольный, хвоя, нерегулируемый, 60х60см"	ХМ	Мольберты-Хлопушки
250_16_71	"Гель по стеклу ""Vetro color"" №488 туба 60мл"	Ferrario	ДПИ-Направления-Стекло-ВС
251_16_71	"Гель по стеклу опаловый ""Vetro color"" №489 туба 60мл"	Ferrario	ДПИ-Направления-Стекло-ВС
252_16_71	Грунт прозрачный/клей для стекла банка 150мл	Ferrario	ДПИ-Направления-Стекло-ВС
253_2_3	"Кисть синтетика круглая ""Вернисаж"" серия 211 №05"	Гамма	Кисти-Масло-Синтетика
254_2_4	"Кисть синтетика круглая ""Модерн-0"" серия 251 №08"	Гамма	Кисти-Акварель-Синтетика
